,Year,From,To,Score
743,2013,Greece,United Kingdom,0
744,2013,Greece,Sweden,0
745,2013,Greece,Hungary,2
746,2013,Greece,Denmark,7
747,2013,Greece,Iceland,0
748,2013,Greece,Azerbaijan,12
750,2013,Greece,Ukraine,8
751,2013,Greece,Italy,6
752,2013,Greece,Norway,4
753,2013,Greece,Georgia,5
754,2013,Greece,Ireland,0
755,2013,Ireland,France,0
756,2013,Ireland,Lithuania,1
757,2013,Ireland,Moldova,3
758,2013,Ireland,Finland,0
759,2013,Ireland,Spain,0
760,2013,Ireland,Belgium,4
761,2013,Ireland,Estonia,0
762,2013,Ireland,Belarus,0
763,2013,Ireland,Malta,0
764,2013,Ireland,Russia,10
765,2013,Ireland,Germany,0
766,2013,Ireland,Armenia,0
767,2013,Ireland,Netherlands,6
768,2013,Ireland,Romania,0
769,2013,Ireland,United Kingdom,7
770,2013,Ireland,Sweden,5
771,2013,Ireland,Hungary,0
772,2013,Ireland,Denmark,12
773,2013,Ireland,Iceland,0
774,2013,Ireland,Azerbaijan,2
775,2013,Ireland,Greece,0
776,2013,Ireland,Ukraine,8
777,2013,Ireland,Italy,0
778,2013,Ireland,Norway,0
779,2013,Ireland,Georgia,0
781,2013,Denmark,France,0
782,2013,Denmark,Lithuania,0
783,2013,Denmark,Moldova,0
784,2013,Denmark,Finland,2
785,2013,Denmark,Spain,0
786,2013,Denmark,Belgium,5
787,2013,Denmark,Estonia,0
788,2013,Denmark,Belarus,0
789,2013,Denmark,Malta,4
790,2013,Denmark,Russia,7
791,2013,Denmark,Germany,0
792,2013,Denmark,Armenia,0
793,2013,Denmark,Netherlands,10
794,2013,Denmark,Romania,0
795,2013,Denmark,United Kingdom,0
796,2013,Denmark,Sweden,8
797,2013,Denmark,Hungary,0
799,2013,Denmark,Iceland,1
800,2013,Denmark,Azerbaijan,0
801,2013,Denmark,Greece,6
802,2013,Denmark,Ukraine,3
803,2013,Denmark,Italy,0
804,2013,Denmark,Norway,12
805,2013,Denmark,Georgia,0
806,2013,Denmark,Ireland,0
807,2013,Montenegro,France,0
808,2013,Montenegro,Lithuania,0
809,2013,Montenegro,Moldova,5
810,2013,Montenegro,Finland,0
811,2013,Montenegro,Spain,0
812,2013,Montenegro,Belgium,0
813,2013,Montenegro,Estonia,0
814,2013,Montenegro,Belarus,3
815,2013,Montenegro,Malta,0
816,2013,Montenegro,Russia,7
817,2013,Montenegro,Germany,0
818,2013,Montenegro,Armenia,0
819,2013,Montenegro,Netherlands,0
820,2013,Montenegro,Romania,1
821,2013,Montenegro,United Kingdom,0
822,2013,Montenegro,Sweden,0
823,2013,Montenegro,Hungary,0
824,2013,Montenegro,Denmark,10
825,2013,Montenegro,Iceland,0
826,2013,Montenegro,Azerbaijan,12
827,2013,Montenegro,Greece,8
828,2013,Montenegro,Ukraine,0
829,2013,Montenegro,Italy,6
830,2013,Montenegro,Norway,4
831,2013,Montenegro,Georgia,2
832,2013,Montenegro,Ireland,0
833,2013,Slovenia,France,0
834,2013,Slovenia,Lithuania,0
835,2013,Slovenia,Moldova,0
836,2013,Slovenia,Finland,0
837,2013,Slovenia,Spain,0
838,2013,Slovenia,Belgium,2
839,2013,Slovenia,Estonia,0
840,2013,Slovenia,Belarus,0
841,2013,Slovenia,Malta,0
842,2013,Slovenia,Russia,10
843,2013,Slovenia,Germany,0
